GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,households-threatened,households-threatened-lower,households-threatened-upper,households-threatened-rate,households-threatened-rate-lower,households-threatened-rate-upper,eviction-filings,filings-per-day,eviction-filings-lower,eviction-filings-upper,eviction-filing-rate,eviction-filing-rate-lower,eviction-filing-rate-upper
6037,Los Angeles County,California,2000,9519338,17.91,49.96,704,42189,209300,28.3,31.09,9.47,44.56,0.27,11.81,0.24,2.34,0.21,56255.16,39203.03,78608.53,3.44,2.4,4.81,58548.93,159.97,40126.34,82745.78,3.58,2.46,5.06
6037,Los Angeles County,California,2001,9519338,17.91,49.88,704,42189,209300,28.3,31.09,9.47,44.56,0.27,11.81,0.24,2.34,0.21,62801.46,44321.5,86529.18,3.83,2.7,5.28,66257,181.53,46630.93,92295.67,4.04,2.84,5.63
6037,Los Angeles County,California,2002,9519338,17.91,49.81,704,42189,209300,28.3,31.09,9.47,44.56,0.27,11.81,0.24,2.34,0.21,59272.45,59272.45,59272.45,3.6,3.6,3.6,61973,169.79,61973,61973,3.76,3.76,3.76
6037,Los Angeles County,California,2003,9519338,17.91,49.74,704,42189,209300,28.3,31.09,9.47,44.56,0.27,11.81,0.24,2.34,0.21,65936.41,47667.18,90807.38,3.99,2.88,5.49,69140.53,189.43,48706.27,96080.55,4.18,2.95,5.81
6037,Los Angeles County,California,2004,9519338,17.91,49.66,704,42189,209300,28.3,31.09,9.47,44.56,0.27,11.81,0.24,2.34,0.21,55068.37,53287.05,56151.55,3.32,3.21,3.38,57074,155.94,57074,57074,3.44,3.44,3.44
6037,Los Angeles County,California,2005,9785295,12.51,49.59,1076,54828,521900,33.2,28.9,8.55,47.29,0.22,12.88,0.24,1.57,0.34,52220.86,50697.45,53152.55,3.14,3.04,3.19,53942,147.79,53942,53942,3.24,3.24,3.24
6037,Los Angeles County,California,2006,9785295,12.51,49.52,1076,54828,521900,33.2,28.9,8.55,47.29,0.22,12.88,0.24,1.57,0.34,51159.28,49695.35,52052.55,3.06,2.97,3.11,52834,144.75,52834,52834,3.16,3.16,3.16
6037,Los Angeles County,California,2007,9785295,12.51,49.45,1076,54828,521900,33.2,28.9,8.55,47.29,0.22,12.88,0.24,1.57,0.34,60001.26,57891.67,61297.55,3.58,3.45,3.65,62401,170.96,62401,62401,3.72,3.72,3.72
6037,Los Angeles County,California,2008,9785295,12.51,49.38,1076,54828,521900,33.2,28.9,8.55,47.29,0.22,12.88,0.24,1.57,0.34,71233.88,68462.43,72952.27,4.23,4.07,4.33,74420,203.33,74420,74420,4.42,4.42,4.42
6037,Los Angeles County,California,2009,9785295,12.51,49.31,1076,54828,521900,33.2,28.9,8.55,47.29,0.22,12.88,0.24,1.57,0.34,67808.63,65169.25,69429.3,4.01,3.86,4.11,70865,194.15,70865,70865,4.19,4.19,4.19
6037,Los Angeles County,California,2010,9818605,13.67,49.24,1187,56241,443300,34.7,27.79,8.3,47.74,0.19,13.5,0.23,1.99,0.26,65087,62747.9,66544.55,3.84,3.7,3.92,67768,185.67,67768,67768,3.99,3.99,3.99
6037,Los Angeles County,California,2011,10038388,14.33,49.48,1231,56196,441900,35.2,26.93,7.99,48.24,0.19,13.96,0.25,2.18,0.27,64581.79,62286.88,65999,3.77,3.64,3.85,67182,184.06,67182,67182,3.92,3.92,3.92
6037,Los Angeles County,California,2012,10038388,14.33,49.72,1231,56196,441900,35.2,26.93,7.99,48.24,0.19,13.96,0.25,2.18,0.27,58941.04,57058.15,60111.28,3.41,3.3,3.48,61110,166.97,61110,61110,3.54,3.54,3.54
6037,Los Angeles County,California,2013,10038388,14.33,49.95,1231,56196,441900,35.2,26.93,7.99,48.24,0.19,13.96,0.25,2.18,0.27,54440.95,52762.85,55468.1,3.12,3.02,3.18,56354,154.39,56354,56354,3.23,3.23,3.23
6037,Los Angeles County,California,2014,10038388,14.33,50.18,1231,56196,441900,35.2,26.93,7.99,48.24,0.19,13.96,0.25,2.18,0.27,53264.66,51631.12,54286.83,3.03,2.93,3.08,55160,151.12,55160,55160,3.13,3.13,3.13
6037,Los Angeles County,California,2015,10038388,14.33,50.41,1231,56196,441900,35.2,26.93,7.99,48.24,0.19,13.96,0.25,2.18,0.27,49442.24,47884.35,50402.27,2.78,2.7,2.84,51203,140.28,51203,51203,2.88,2.88,2.88
6037,Los Angeles County,California,2016,10098052,12.22,50.63,1390,64251,543400,34.4,26.33,7.88,48.46,0.2,14.37,0.25,2.21,0.3,46307.39,44870.5,47208.28,2.58,2.5,2.63,47966,131.05,47966,47966,2.68,2.68,2.68
6037,Los Angeles County,California,2017,10098052,12.22,50.86,1390,64251,543400,34.4,26.33,7.88,48.46,0.2,14.37,0.25,2.21,0.3,42632.43,41407.4,43380,2.36,2.29,2.4,44031,120.63,44031,44031,2.44,2.44,2.44
6037,Los Angeles County,California,2018,10098052,12.22,51.08,1390,64251,543400,34.4,26.33,7.88,48.46,0.2,14.37,0.25,2.21,0.3,40801.04,28765.08,56604.93,2.24,1.58,3.1,42100.51,115.34,29416.26,58790.82,2.31,1.61,3.22